"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
  Standard error of average employment income $ , $966 ," $1,248 "," $1,213 ", $630 , $556 , $471 , $438 ," $2,648 ", $552 , $612 , $626 , $660 ," $3,066 ", $400 , $678 ," $2,038 "," $1,453 "," $1,006 ", $420 , $690 , $521 ," $1,243 ", $184 , $79 
Composition of total income in 2000 - %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 Employment income - %,68.7,83.5,77.5,84.0,79.7,75.5,77.6,66.7,77.3,84.0,76.7,82.0,60.0,76.7,81.4,68.8,78.2,55.9,75.4,75.4,80.9,73.3,77.6,78.7
 Government transfer payments - %,7.6,7.9,5.0,5.2,15.0,15.8,15.1,4.7,11.7,5.1,10.2,11.3,10.6,15.0,10.1,4.0,7.2,40.3,15.6,13.7,8.5,4.8,9.6,9.6
 Other - %,23.7,8.7,17.5,10.8,5.3,8.7,7.3,28.6,11.0,10.9,13.2,6.7,29.5,8.3,8.5,27.1,14.5,3.8,9.1,10.8,10.7,21.9,12.7,11.7
Total income in 2000 of population 15 years and over,"12,140","26,275","17,510","25,695","24,990","27,075","36,280","11,960","21,035","36,070","18,840","21,285","10,415","37,005","18,490","7,500","5,770","9,950","26,695","22,120","40,310","10,840","467,195","1,620,920"
  Total income in 2000 of males 15 years and over,"5,510","15,580","8,430","11,290","12,380","13,200","17,655","5,440","9,920","16,915","8,950","10,655","4,770","17,955","8,735","3,580","2,675","5,675","12,955","10,555","21,100","5,090","228,480","787,515"
    Without income,425,340,580,215,380,665,975,385,770,400,760,355,400,"1,100",460,255,120,145,865,780,455,230,"11,020","39,025"
    With income,"5,085","15,240","7,855","11,080","12,000","12,535","16,675","5,050","9,145","16,515","8,185","10,300","4,375","16,855","8,280","3,325","2,555","5,530","12,085","9,780","20,645","4,860","217,460","748,495"
"      Under $1,000",325,820,390,405,630,815,"1,040",260,640,510,460,505,430,"1,180",475,240,110,310,770,815,"1,305",215,"12,620","38,090"
"      $ 1,000 - $ 2,999",195,290,355,280,455,475,720,175,455,300,360,360,190,750,355,90,95,180,510,520,450,210,"7,725","27,250"
"      $ 3,000 - $ 4,999",120,465,270,195,375,460,545,175,445,300,315,240,105,530,305,90,65,140,445,290,335,160,"6,330","21,370"
"      $ 5,000 - $ 6,999",190,"1,220",285,235,615,475,755,175,350,460,365,465,170,640,405,90,120,670,575,470,590,190,"9,495","27,450"
"      $ 7,000 - $ 9,999",260,"1,605",270,430,860,730,"1,250",230,610,755,470,925,255,"1,045",445,130,70,975,960,560,"1,070",140,"14,050","37,775"
"      $10,000 - $11,999",170,670,200,355,645,760,935,170,455,475,290,475,155,"1,150",455,80,75,605,795,540,690,170,"10,310","28,620"
"      $12,000 - $14,999",240,980,270,455,965,"1,005","1,280",300,620,680,505,850,235,"1,200",525,130,115,710,895,705,"1,395",190,"14,245","40,250"
"      $15,000 - $19,999",340,"1,005",455,760,"1,490","1,460","1,855",300,685,"1,140",810,"1,015",315,"1,885",820,195,220,595,"1,440","1,010","1,690",240,"19,700","59,245"
"      $20,000 - $24,999",360,895,365,695,"1,210","1,085","1,725",325,825,"1,140",570,940,355,"1,815",745,300,190,410,"1,125",840,"1,815",225,"17,920","55,650"
"      $25,000 - $29,999",325,605,385,615,845,990,"1,200",250,485,880,615,895,205,"1,200",520,120,175,265,875,605,"1,535",180,"13,755","47,460"
"      $30,000 - $34,999",290,955,415,840,860,910,"1,115",255,535,"1,185",705,860,285,"1,180",575,125,175,170,915,675,"1,590",290,"14,860","50,940"
"      $35,000 - $39,999",260,665,410,835,645,650,900,235,545,995,475,500,215,920,375,135,145,120,540,450,"1,420",240,"11,650","43,640"
"      $40,000 - $44,999",225,660,335,710,605,715,900,210,485,935,315,485,130,800,415,130,135,110,495,385,"1,130",160,"10,440","44,795"
"      $45,000 - $49,999",190,585,280,620,355,465,580,225,290,855,395,380,135,720,335,120,100,30,355,355,995,135,"8,480","36,150"
"      $50,000 - $59,999",330,895,520,965,560,545,890,280,655,"1,495",540,525,330,800,460,225,190,90,645,655,"1,610",325,"13,485","60,240"
"      $60,000 and over","1,260","2,905","2,655","2,695",880,"1,000",980,"1,485","1,055","4,420",995,875,865,"1,035","1,065","1,125",580,150,745,895,"3,030","1,790","32,400","129,585"
    Average income $ ," $62,604 "," $38,037 "," $63,211 "," $46,395 "," $25,483 "," $26,799 "," $24,749 "," $76,181 "," $28,841 "," $49,508 "," $31,579 "," $27,652 "," $39,342 "," $24,424 "," $31,625 "," $80,099 "," $39,452 "," $15,877 "," $24,029 "," $26,685 "," $35,395 "," $70,105 "," $36,202 "," $38,151 "
    Median income $ ," $30,074 "," $22,708 "," $37,986 "," $36,139 "," $19,750 "," $20,240 "," $19,878 "," $32,935 "," $21,202 "," $36,669 "," $24,248 "," $21,024 "," $24,588 "," $20,016 "," $21,205 "," $37,054 "," $30,614 "," $11,235 "," $18,461 "," $19,771 "," $28,181 "," $39,391 "," $23,917 "," $28,823 "
    Standard error of average income $ ," $6,931 "," $1,060 "," $2,185 "," $1,102 ", $527 , $923 , $388 ," $6,769 ", $601 ," $1,484 ", $883 , $743 ," $1,697 ", $342 ," $1,346 "," $5,068 "," $1,550 ", $447 , $457 , $589 , $763 ," $4,353 ", $346 , $150 
  Total income in 2000 of females 15 years and over,"6,625","10,695","9,080","14,405","12,610","13,880","18,625","6,525","11,110","19,155","9,890","10,635","5,645","19,050","9,750","3,925","3,095","4,275","13,740","11,565","19,210","5,755","238,715","833,400"
    Without income,515,665,675,430,510,915,"1,200",525,820,600,990,465,620,"1,515",550,320,135,150,"1,285","1,030",965,360,"15,185","58,175"
    With income,"6,115","10,035","8,405","13,980","12,100","12,960","17,425","6,000","10,295","18,555","8,905","10,165","5,020","17,540","9,200","3,600","2,965","4,125","12,460","10,540","18,245","5,390","223,530","775,220"
"      Under $1,000",300,670,505,410,500,715,"1,025",335,740,485,635,495,475,"1,055",520,240,115,165,785,785,"1,290",195,"12,415","42,225"
"      $ 1,000 - $ 2,999",275,475,445,355,590,710,900,285,455,515,525,435,355,"1,005",400,180,120,195,750,685,520,275,"10,445","40,940"
"      $ 3,000 - $ 4,999",275,280,360,355,475,510,710,250,470,510,375,400,195,825,385,90,155,140,600,480,345,190,"8,370","31,750"
"      $ 5,000 - $ 6,999",250,485,375,335,890,690,"1,035",195,585,555,445,485,265,"1,020",445,170,125,270,805,565,695,160,"10,790","39,100"
"      $ 7,000 - $ 9,999",415,670,505,520,"1,190","1,165","1,335",305,860,"1,240",605,715,325,"1,725",705,205,155,545,"1,165",985,900,310,"16,525","58,010"
"      $10,000 - $11,999",235,475,280,505,680,920,"1,090",195,500,635,345,575,240,"1,050",455,75,135,445,845,510,665,145,"10,980","37,915"
"      $12,000 - $14,999",630,795,540,730,"1,315","1,615","1,960",340,945,"1,110",930,"1,025",470,"2,020",950,200,205,"1,095","1,295","1,170","1,435",350,"21,095","68,330"
"      $15,000 - $19,999",560,770,550,"1,125","1,525","1,600","2,185",605,"1,225","1,565",985,"1,145",460,"2,190",975,315,240,560,"1,555","1,010","1,935",500,"23,545","79,865"
"      $20,000 - $24,999",505,790,670,"1,055","1,090","1,300","1,770",455,825,"1,470",705,970,375,"1,650",790,310,215,210,"1,360",900,"1,545",350,"19,290","65,600"
"      $25,000 - $29,999",400,630,435,950,985,930,"1,325",320,580,"1,325",780,820,280,"1,170",730,260,180,75,695,815,"1,390",340,"15,390","54,745"
"      $30,000 - $34,999",375,625,645,"1,240",760,685,"1,215",460,725,"1,475",650,820,260,"1,205",655,250,130,85,740,770,"1,585",415,"15,725","58,800"
"      $35,000 - $39,999",340,515,460,"1,125",580,605,845,395,555,"1,450",495,590,200,820,510,190,250,40,545,550,"1,465",355,"12,860","45,895"
"      $40,000 - $44,999",240,600,390,"1,035",425,430,600,325,465,"1,230",340,610,180,705,370,145,170,95,410,430,"1,025",330,"10,525","39,250"
"      $45,000 - $49,999",225,460,340,890,270,225,470,275,400,"1,115",250,285,225,270,295,130,130,90,205,230,815,250,"7,825","27,295"
"      $50,000 - $59,999",395,680,600,"1,365",355,415,520,295,365,"1,340",310,345,205,435,410,225,265,60,375,340,"1,175",280,"10,730","36,825"
"      $60,000 and over",685,"1,105","1,305","1,985",475,450,440,980,585,"2,535",515,455,500,380,600,610,375,50,330,320,"1,440",945,"17,020","48,680"
    Average income $ ," $29,458 "," $30,101 "," $34,042 "," $36,108 "," $21,015 "," $20,117 "," $20,221 "," $36,350 "," $22,585 "," $34,325 "," $22,630 "," $23,698 "," $28,006 "," $18,995 "," $24,284 "," $38,612 "," $32,246 "," $14,875 "," $19,181 "," $20,240 "," $28,228 "," $38,477 "," $26,054 "," $24,924 "
    Median income $ ," $20,614 "," $22,309 "," $24,648 "," $32,105 "," $16,055 "," $15,346 "," $16,229 "," $25,269 "," $17,140 "," $29,388 "," $17,905 "," $19,166 "," $16,637 "," $15,008 "," $18,269 "," $25,035 "," $25,322 "," $12,068 "," $14,893 "," $15,180 "," $24,199 "," $28,054 "," $19,259 "," $19,076 "
    Standard error of average income $, $824 , $709 , $906 , $587 , $355 , $320 , $272 ," $1,440 ", $398 , $520 , $448 , $449 ," $1,299 ", $247 , $499 ," $2,179 "," $1,217 ", $400 , $375 , $383 , $377 ," $1,750 ", $131 , $62 
Population 15 years and over in private households by presence of children and labour force activity,"12,135","26,070","17,450","25,585","24,905","27,060","36,250","11,950","21,030","36,015","18,830","21,235","10,415","36,990","18,460","7,480","5,750","9,880","26,685","22,115","40,190","10,785","466,205","1,617,280"
 In the labour force - 15 years and over in private households,"6,475","17,550","11,105","19,575","17,245","16,675","23,055","7,145","12,900","28,090","11,740","15,585","4,825","22,610","12,210","4,495","3,895","4,320","16,300","12,610","28,440","7,090","303,330","1,070,680"
  Employed - 15 years and over in private households,"6,140","15,725","10,345","18,465","15,215","15,295","20,710","6,560","11,665","26,480","10,755","14,260","4,490","20,820","11,415","4,300","3,705","3,405","14,715","11,510","26,250","6,645","278,335","993,330"
  Unemployed - 15 years and over in private households,330,"1,830",760,"1,115","2,025","1,375","2,340",580,"1,235","1,605",985,"1,320",340,"1,790",795,195,190,910,"1,585","1,105","2,190",445,"25,000","77,355"
 Not in the labour force - 15 years and over in private households,"5,660","8,515","6,345","6,010","7,660","10,385","13,200","4,805","8,135","7,925","7,090","5,655","5,585","14,380","6,260","2,985","1,855","5,560","10,385","9,505","11,750","3,700","162,875","546,595"
 Participation rate - 15 years and over in private households,53.4,67.3,63.6,76.5,69.2,61.6,63.6,59.8,61.3,78.0,62.3,73.4,46.3,61.1,66.1,60.1,67.7,43.7,61.1,57.0,70.8,65.7,65.1,66.2
 Employment rate - 15 years and over in private households,50.6,60.3,59.3,72.2,61.1,56.5,57.1,54.9,55.5,73.5,57.1,67.2,43.1,56.3,61.8,57.5,64.4,34.5,55.1,52.0,65.3,61.6,59.7,61.4
 Unemployment rate - 15 years and over in private households,5.1,10.4,6.8,5.7,11.7,8.2,10.1,8.1,9.6,5.7,8.4,8.5,7.0,7.9,6.5,4.3,4.9,21.1,9.7,8.8,7.7,6.3,8.2,7.2
Population - 15 years and over in private households with no children at home,"7,800","22,750","10,140","21,670","18,470","16,210","21,845","7,610","11,895","29,345","12,140","16,365","6,400","21,635","11,690","4,700","3,885","8,000","15,380","12,600","36,705","7,150","323,740","1,008,450"
 In the labour force - 15 years and over in private households with no children at home,"3,755","15,310","5,660","16,755","13,045","9,345","13,270","4,170","6,430","22,930","7,265","12,220","2,615","12,230","7,700","2,500","2,600","3,285","8,635","6,370","26,055","4,225","206,025","613,830"
  Employed - 15 years and over in private households with no children at home,"3,540","13,630","5,090","15,840","11,500","8,455","11,750","3,710","5,730","21,575","6,670","11,205","2,385","11,275","7,130","2,340","2,435","2,505","7,720","5,750","24,115","3,905","187,945","562,630"
  Unemployed - 15 years and over in private households with no children at home,215,"1,675",565,915,"1,545",890,"1,520",455,700,"1,360",595,"1,015",235,955,575,165,160,780,910,620,"1,940",320,"18,085","51,200"
 Not in the labour force - 15 years and over in private households with no children at home,"4,045","7,440","4,475","4,915","5,425","6,870","8,575","3,435","5,465","6,415","4,870","4,150","3,780","9,400","3,990","2,195","1,285","4,720","6,750","6,230","10,650","2,925","117,710","394,620"
 Participation rate - 15 years and over in private households with no children at home,48.1,67.3,55.8,77.3,70.6,57.6,60.7,54.8,54.1,78.1,59.8,74.7,40.9,56.5,65.9,53.2,66.9,41.1,56.1,50.6,71.0,59.1,63.6,60.9
 Employment rate - 15 years and over in private households with no children at home,45.4,59.9,50.2,73.1,62.3,52.2,53.8,48.8,48.2,73.5,54.9,68.5,37.3,52.1,61.0,49.8,62.7,31.3,50.2,45.6,65.7,54.6,58.1,55.8
 Unemployment rate - 15 years and over in private households with no children at home,5.7,10.9,10.0,5.5,11.8,9.5,11.5,10.9,10.9,5.9,8.2,8.3,9.0,7.8,7.5,6.6,6.2,23.7,10.5,9.7,7.4,7.6,8.8,8.3
Population - 15 years and over in private households with children,"4,340","3,315","7,310","3,915","6,440","10,850","14,405","4,345","9,135","6,670","6,695","4,870","4,020","15,360","6,775","2,780","1,865","1,880","11,300","9,520","3,480","3,640","142,465","608,820"
 In the labour force - 15 years and over in private households with children,"2,715","2,245","5,445","2,820","4,205","7,330","9,780","2,975","6,465","5,160","4,470","3,365","2,215","10,380","4,500","1,995","1,295","1,035","7,670","6,245","2,385","2,860","97,300","456,845"
  Employed - 15 years and over in private households with children,"2,605","2,090","5,255","2,620","3,715","6,840","8,955","2,845","5,935","4,915","4,085","3,055","2,105","9,545","4,285","1,965","1,270",900,"6,995","5,765","2,135","2,740","90,385","430,700"
  Unemployed - 15 years and over in private households with children,115,155,190,195,485,490,820,125,530,250,390,310,105,835,220,30,30,135,670,480,250,120,"6,915","26,150"
 Not in the labour force - 15 years and over in private households with children,"1,625","1,070","1,865","1,095","2,235","3,520","4,625","1,370","2,670","1,510","2,220","1,505","1,810","4,980","2,270",785,570,845,"3,635","3,275","1,095",775,"45,165","151,975"
 Participation rate - 15 years and over in private households with children,62.6,67.7,74.5,72.0,65.3,67.6,67.9,68.5,70.8,77.4,66.8,69.1,55.1,67.6,66.4,71.8,69.4,55.1,67.9,65.6,68.5,78.6,68.3,75.0
 Employment rate - 15 years and over in private households with children,60.0,63.0,71.9,66.9,57.7,63.0,62.2,65.5,65.0,73.7,61.0,62.7,52.4,62.1,63.2,70.7,68.1,47.9,61.9,60.6,61.4,75.3,63.4,70.7
 Unemployment rate - 15 years and over in private households with children,4.2,6.9,3.5,6.9,11.5,6.7,8.4,4.2,8.2,4.8,8.7,9.2,4.7,8.0,4.9,1.5,2.3,13.0,8.7,7.7,10.5,4.2,7.1,5.7
Population - 15 years and over in private households with children under 6 years only,465,"1,050",985,"1,435","1,675","1,790","2,925",415,"1,245","1,975",995,"1,635",390,"2,535","1,400",195,345,230,"2,205","1,180","1,235",585,"26,850","109,215"
 In the labour force - 15 years and over in private households with children under 6 years only,405,810,785,"1,140","1,140","1,435","2,320",310,"1,005","1,635",705,"1,165",295,"2,010","1,090",175,285,140,"1,720",885,960,465,"20,860","87,005"
  Employed - 15 years and over in private households with children under 6 years only,405,755,735,"1,055",970,"1,325","2,200",275,940,"1,535",605,"1,030",275,"1,810","1,030",170,260,130,"1,585",795,845,450,"19,160","81,020"
  Unemployed - 15 years and over in private households with children under 6 years only,0,55,55,85,170,110,115,35,70,100,105,140,15,205,55,0,25,0,140,90,115,20,"1,700","5,990"
 Not in the labour force - 15 years and over in private households with children under 6 years only,60,240,195,295,535,355,605,105,235,340,290,470,105,525,315,15,55,90,485,295,275,115,"5,990","22,210"
 Participation rate - 15 years and over in private households with children under 6 years only,87.1,77.1,79.7,79.4,68.1,80.2,79.3,74.7,80.7,82.8,70.9,71.3,75.6,79.3,77.9,89.7,82.6,60.9,78.0,75.0,77.7,79.5,77.7,79.7
 Employment rate - 15 years and over in private households with children under 6 years only,87.1,71.9,74.6,73.5,57.9,74.0,75.2,66.3,75.5,77.7,60.8,63.0,70.5,71.4,73.6,87.2,75.4,56.5,71.9,67.4,68.4,76.9,71.4,74.2
 Unemployment rate - 15 years and over in private households with children under 6 years only,0.0,6.8,7.0,7.5,14.9,7.7,5.0,11.3,7.0,6.1,14.9,12.0,5.1,10.2,5.0,0.0,8.8,0.0,8.1,10.2,12.0,4.3,8.1,6.9
Population - 15 years and over in private households with children under 6 years as well as children 6 years and over,330,185,730,210,970,"1,285","1,615",375,895,475,545,520,255,"1,645",590,245,210,340,"1,480",905,225,335,"14,320","72,135"
 In the labour force - 15 years and over in private households with children under 6 years as well as children 6 years and over,235,170,585,175,705,975,"1,120",265,650,370,425,370,150,"1,175",440,220,180,240,"1,135",700,150,270,"10,680","56,595"
  Employed - 15 years and over in private households with children under 6 years as well as children 6 years and over,215,155,570,160,650,925,"1,020",240,580,350,365,350,155,"1,015",420,220,175,195,"1,030",655,145,270,"9,830","53,250"
  Unemployed - 15 years and over in private households with children under 6 years as well as children 6 years and over,20,20,15,15,55,55,105,20,70,20,65,20,0,160,20,0,0,40,110,45,0,0,850,"3,350"
 Not in the labour force - 15 years and over in private households with children under 6 years as well as children 6 years and over,90,10,145,35,265,310,495,115,245,105,120,155,105,470,150,30,35,110,345,205,80,65,"3,635","15,535"
 Participation rate - 15 years and over in private households with children under 6 years as well as children 6 years and over,71.2,91.9,80.1,83.3,72.7,75.9,69.3,70.7,72.6,77.9,78.0,71.2,58.8,71.4,74.6,89.8,85.7,70.6,76.7,77.3,66.7,80.6,74.6,78.5
 Employment rate - 15 years and over in private households with children under 6 years as well as children 6 years and over,65.2,83.8,78.1,76.2,67.0,72.0,63.2,64.0,64.8,73.7,67.0,67.3,60.8,61.7,71.2,89.8,83.3,57.4,69.6,72.4,64.4,80.6,68.6,73.8
 Unemployment rate - 15 years and over in private households with children under 6 years as well as children 6 years and over,8.5,11.8,2.6,8.6,7.8,5.6,9.4,7.5,10.8,5.4,15.3,5.4,0.0,13.6,4.5,0.0,0.0,16.7,9.7,6.4,0.0,0.0,8.0,5.9
